prompt,output
"KONTEKST:\nMarysia i profesor musieli znaleźć klucz naprawczy.\nPytanie:Gdzie znajdował się klucz naprawczy?","Klucz naprawczy znajdował się w Rdzeniu Umęczonego Drzewa."
"KONTEKST:\nMarysia i profesor dotarli do Rdzenia Umęczonego Drzewa.\nPytanie:Jak wyglądało Umęczone Drzewo?","Rdzeń Umęczonego Drzewa to pień tak wielki, że można by w nim zamieszkać z całym królestwem i jeszcze by zostało miejsce na magazyn narzędzi tortur."
"KONTEKST:\nMarysia przyłożyła ucho do kory Umęczonego Drzewa.\nPytanie:Co usłyszała Marysia?","Marysia usłyszała jęki - jakby w drzewie uwięzione były dusze leniwych poetów, co w życiu napisali tylko dwa wersy i to jeszcze z błędem ortograficznym."
"KONTEKST:\nProfesor znalazł klucz naprawczy w Umęczonym Drzewie.\nPytanie:Jak wyglądał klucz naprawczy?","Klucz naprawczy to malutki, srebrny przedmiot wyglądający jak dzieło jubilera, ale pokryty śladami rdzy."
"KONTEKST:\nPo znalezieniu klucza, z drzewa wyleciały nietoperze.\nPytanie:Co było szczególnego w tych nietoperzach?","Z gałęzi sfrunęła chmara nietoperzy z procesorami zamiast głów, wydając przy tym dźwięki zbliżone do klikania starych dyskietek 3.5 cala."
"KONTEKST:\nProfesor naprawiał komputer kwantowy.\nPytanie:Jak profesor naprawiał komputer?","Profesor naprawiał komputer przez parę godzin, spawając laserem i lutując nanokable."
"KONTEKST:\nMarysia i profesor przenieśli się do kolejnego świata.\nPytanie:Jak wyglądało niebo w tym nowym świecie?","Niebo w nowym świecie miało kolor dojrzałego bakłażana."
"KONTEKST:\nW nowym świecie był zamek.\nPytanie:Co było szczególnego w tym zamku?","Na blankach zamku maszerowały postacie w czarnych pelerynach, każda wyposażona w lśniący laptop kwantowy."
"KONTEKST:\nMarysia i profesor weszli do zamku.\nPytanie:Kto ich przywitał w zamku?","W zamku przywitał ich czarny kot z jednym okiem, który potrafił mówić i znikać w kłębie dymu."
"KONTEKST:\nW zamku był korytarz z lustrami.\nPytanie:Co Marysia i profesor zobaczyli w lustrach?","W lustrach odbijały się ich zmęczone twarze, a przy jednym z luster widzieli dziwną postać w czarnej szacie, która zdawała się szeptać do samej siebie."
"KONTEKST:\nMarysia i profesor spotkali starca w zamku.\nPytanie:Jak wyglądał starzec?","Starzec miał twarz z pustymi oczodołami."
"KONTEKST:\nMarysia i profesor przenieśli się do kolejnego świata.\nPytanie:Jak wyglądał ten nowy świat?","Nowy świat to łąka z kwitnącymi kwiatami i szumem strumyka, miejsce tak piękne, że aż nierealne."
"KONTEKST:\nW nowym świecie pojawił się staruszek.\nPytanie:Co niósł staruszek?","Staruszek niósł kosz z jabłkami."
"KONTEKST:\nStaruszek zaprosił Marysię i profesora do swojej chaty.\nPytanie:Czym poczęstował ich staruszek?","Staruszek poczęstował ich mlekiem i ciepłą zupą."
"KONTEKST:\nMarysia nauczyła się nowych umiejętności w chacie staruszka.\nPytanie:Czego nauczyła się Marysia?","Marysia nauczyła się doić kozę i piec swój pierwszy chleb, który przypaliła dokumentnie."
"KONTEKST:\nNagle w nowym świecie pojawiła się macocha Marysi.\nPytanie:Co niosła ze sobą macocha?","Macocha niosła walizkę kabli i modułów pamięci."
"KONTEKST:\nMacocha chciała zabrać Marysię z powrotem.\nPytanie:Jakie zadania miała wykonać Marysia po powrocie?","Macocha chciała, żeby Marysia umyła podłogę w stodole i nakarmiła kozły ofiarne, które się zgubiły."
"KONTEKST:\nMacocha uruchomiła komputer kwantowy.\nPytanie:Co się stało, gdy macocha uruchomiła komputer?","Świat ponownie zawirował, a z dalekiego nieba runęła kula ognia, która roztrzaskała się w pobliżu, pozostawiając leje w ziemi i czarne, spalone kwiaty."
"KONTEKST:\nKomputer kwantowy uległ autodestrukcji.\nPytanie:Co się stało z macocha po wybuchu komputera?","Macocha zniknęła - prawdopodobnie prześlizgnęła się do jakiegoś koszmarnego świata, który sama sobie stworzyła."
"KONTEKST:\nPo wybuchu komputera pojawiła się szczelina w rzeczywistości.\nPytanie:Co było widać przez szczelinę?","Przez szczelinę widać było las i małą chatynkę, do złudzenia przypominającą dom macochy."
"KONTEKST:\nMarysia i profesor wrócili do swojego świata.\nPytanie:Jak wyglądał cmentarz inżynierów kwantowych po ich powrocie?","Cmentarz wyglądał bardziej opuszczony niż dotąd, a słońce zdawało się wisieć niżej, jakby zmęczone obserwowaniem ludzkich głupot."
"KONTEKST:\nMarysia i profesor wrócili do swojego świata.\nPytanie:Co Marysia zachowała na pamiątkę z podróży?","Marysia zachowała węgielek, który wypadł z jednego z komputerów kwantowych - jedyny ślad po wszystkich perypetiach."
"KONTEKST:\nProfesor planował nowy projekt po powrocie.\nPytanie:Jaki nowy projekt planował profesor?","Profesor planował stworzyć komputer bezpieczny dla zdrowia psychicznego i wolny od kwantowych paradoksów."
"KONTEKST:\nMarysia zaproponowała profesorowi swoją pomoc.\nPytanie:Jaką rolę zaproponowała sobie Marysia w nowym projekcie profesora?","Marysia zaproponowała, że zostanie asystentką profesora w jego nowym projekcie."
"KONTEKST:\nProfesor zgodził się na propozycję Marysi.\nPytanie:Dlaczego profesor uznał, że Marysia będzie dobrą asystentką?","Profesor uznał, że Marysia będzie najlepszą asystentką, bo przeszła więcej niż ktokolwiek w tym uniwersum."
"KONTEKST:\nMarysia miała charakterystyczny sposób patrzenia na świat.\nPytanie:Jaki był stosunek Marysi do życia?","Marysia miała cyniczne podejście do życia, ale jednocześnie zachowała pogodę ducha i chęć przetrwania."
"KONTEKST:\nProfesor miał specyficzne podejście do eksperymentów.\nPytanie:Jak profesor podchodził do swoich eksperymentów?","Profesor był wizjonerem gotowym przewrócić świat do góry nogami za pomocą swoich komputerów kwantowych."
"KONTEKST:\nMarysia miała trudne relacje z macochą.\nPytanie:Jak wyglądało życie Marysi przed spotkaniem profesora?","Przed spotkaniem profesora, Marysia żyła pod opieką macochy, która zmuszała ją do ciężkiej pracy i obrzucała złośliwymi uwagami."
"KONTEKST:\nProfesor miał wiele komputerów kwantowych.\nPytanie:Ile komputerów kwantowych posiadał profesor?","Profesor posiadał co najmniej 14 komputerów kwantowych, o czym świadczy wzmianka o Komputerze Kwantowym Numer 14."
"KONTEKST:\nMarysia i profesor podróżowali między różnymi światami.\nPytanie:Ile światów odwiedzili Marysia i profesor podczas swojej podróży?","Marysia i profesor odwiedzili co najmniej 4 różne światy: ich własny, świat z czarnym słońcem, zamek Czarnych Przepowiedni i idylliczną krainę ze staruszkiem."
"KONTEKST:\nSierotka Marysia mieszkała w zapomnianej krainie.\nPytanie: Jakie buty nosiła Marysia?","Marysia nosiła stare buty po dziadku, który zginął w niewyjaśnionych okolicznościach, gdy próbował wynaleźć perpetuum mobile."
"KONTEKST:\nMacocha Marysi była znana z pewnych umiejętności.\nPytanie: Z czego słynęła macocha Marysi?","Macocha Marysi słynęła z wyśmienitych wypieków, ale przy okazji równie dobrze radziła sobie z rzucaniem złośliwych uwag."
"KONTEKST:\nMarysia miała za zadanie odnaleźć coś w lesie.\nPytanie: Co Marysia miała odnaleźć w lesie?","Marysia miała odnaleźć w pobliskim lesie zgubione kozły ofiarne, które służyły w sąsiedniej wiosce za pogromców chwastów."
"KONTEKST:\nW lesie znajdował się cmentarz.\nPytanie: Kto podobno błąkał się na cmentarzu?","Na cmentarzu podobno błąkały się duchy dawnych kwantowych inżynierów."
"KONTEKST:\nMarysia zauważyła dziwne ślady w lesie.\nPytanie: Jakie ślady zauważyła Marysia?","Marysia zauważyła ślady stóp wielkości człowieka, które kształtem przypominały kozła."
"KONTEKST:\nW lesie znajdował się stary domek.\nPytanie: Do kogo należał stary domek w lesie?","Stary domek w lesie podobno należał do tajemniczego profesora, który eksperymentował z komputerami kwantowymi."
"KONTEKST:\nProfesora, właściciela domku, charakteryzowała pewna umiejętność.\nPytanie: Z czego słynął profesor?","Profesor słynął z tego, że potrafił zamienić kurnik w laboratorium, o ile dostał dość części z demobilu."
"KONTEKST:\nProfesor nosił charakterystyczne okulary.\nPytanie: Jak wyglądały okulary profesora?","Profesor nosił okulary tak grube, że widać w nich było odbicie całej Drogi Mlecznej."
"KONTEKST:\nW domku profesora panował specyficzny nieład.\nPytanie: Co znajdowało się na stole w domku profesora?","Na stole w domku profesora rozłożone były karty z wynikami obliczeń kwantowych, pomiędzy którymi wiła się setka kabli różnej długości."
"KONTEKST:\nProfesor miał specjalny komputer.\nPytanie: Jak nazywał się komputer profesora?","Komputer profesora nazywał się Komputer Kwantowy Numer 13."
"KONTEKST:\nMarysia zastanawiała się nad propozycją profesora.\nPytanie: O czym myślała Marysia, rozważając propozycję profesora?","Marysia pomyślała, że w sumie każda rzeczywistość jest lepsza niż ta, w której macocha zmusza ją do sprzątania piwnicy pełnej szczurów-mutantów."
"KONTEKST:\nProfesor uruchomił swój komputer kwantowy.\nPytanie: Co się stało, gdy profesor uruchomił komputer?","Gdy profesor uruchomił komputer, w powietrzu rozległ się świst, a wokół Marysi zaczęły wirować setki migoczących świetlistych kul."
"KONTEKST:\nMarysia i profesor znaleźli się w nowym miejscu.\nPytanie: Jak wyglądał krajobraz w nowym miejscu?","Wokół rozpościerały się wzgórza usypane z pustych kubków po kawie, a tu i ówdzie wyrastały drzewa z kabli USB i zasilaczy."
"KONTEKST:\nNowe miejsce miało specyficzną nazwę.\nPytanie: Jak nazywało się nowe miejsce, w którym znaleźli się Marysia i profesor?","Nowe miejsce nazywało się Kraina Zaginionych Idei."
"KONTEKST:\nNad nowym miejscem unosiło się dziwne słońce.\nPytanie: Jak wyglądało słońce w nowym miejscu?","Nad nimi unosiło się groźne, czarne słońce, które co parę sekund mrugało niczym dioda LED w starym modemie."
"KONTEKST:\nMieszkańcy nowego miejsca mieli specyficzne upodobania.\nPytanie: Co lubili mieszkańcy nowego miejsca?","Mieszkańcy nowego miejsca - dziwaczne, półprzezroczyste stwory - uwielbiały czarne żarty o śmierci i podatkach."
"KONTEKST:\nMarysia i profesor zostali poczęstowani dziwnym posiłkiem.\nPytanie: Co podano Marysi i profesorowi do jedzenia?","Marysi i profesorowi podano miskę zupy z liter alfabetu, w której brakowało co drugiej litery."
"KONTEKST:\nW nowym świecie pojawiły się dziwne owady.\nPytanie: Jakie owady spotkali Marysia i profesor?","Marysia i profesor spotkali stado elektronicznych komarów, które ukąszeniami ściągały dane prosto z mózgów nieszczęśników."
"KONTEKST:\nProfesor miał sposób na radzenie sobie z elektronicznymi komarami.\nPytanie: Jak profesor radził sobie z elektronicznymi komarami?","Profesor radził sobie z elektronicznymi komarami, wyświetlając kody binarne na przenośnym ekranie, co myliło te owady i kazało im szukać innego celu."
"KONTEKST:\nKomputer kwantowy profesora uległ awarii.\nPytanie: Co się stało z komputerem kwantowym profesora?","Pewnej nocy zacięła się klawiatura komputera kwantowego profesora i nie dało się ustawić kolejnej sekwencji przeniesienia."
"KONTEKST:\nTubylcy powiedzieli o sposobie naprawy komputera.\nPytanie: Gdzie według tubylców znajdował się klucz naprawczy?","Według tubylców klucz naprawczy znajdował się w Rdzeniu Umęczonego Drzewa."
"KONTEKST:\nMarysia i profesor wyruszyli w poszukiwaniu klucza naprawczego.\nPytanie: Dokąd wyruszyli Marysia i profesor?","Marysia i profesor wyruszyli w stronę tajemniczego drzewa, które – jak szeptano – płakało żywicą, a w jego korzeniach spały szczątki dawnych ideałów."
"KONTEKST:\nPodczas wędrówki profesor często coś robił.\nPytanie: Co robił profesor podczas wędrówki?","Podczas wędrówki profesor coraz częściej sięgał po notatnik, w którym szkicował rozmaite diagramy, jakby planował kolejny eksperyment."
"KONTEKST:\nMarysia i profesor dotarli do dziwnego strumienia.\nPytanie: Jak wyglądał strumień, do którego dotarli Marysia i profesor?","Marysia i profesor dotarli do strumienia pełnego czarnej wody."
"KONTEKST:\nMarysia i profesor dotarli do celu swojej wędrówki.\nPytanie: Jak wyglądał Rdzeń Umęczonego Drzewa?","Rdzeń Umęczonego Drzewa był pniem tak wielkim, że można by w nim zamieszkać z całym królestwem i jeszcze by zostało miejsce na magazyn narzędzi tortur."
"KONTEKST:\nMarysia usłyszała dziwne dźwięki dobiegające z drzewa.\nPytanie: Co usłyszała Marysia, gdy przyłożyła ucho do kory drzewa?","Gdy Marysia przyłożyła ucho do kory, usłyszała jęki – jakby w drzewie uwięzione były dusze leniwych poetów, co w życiu napisali tylko dwa wersy i to jeszcze z błędem ortograficznym."
"KONTEKST:\nProfesor znalazł klucz naprawczy.\nPytanie: Jak wyglądał klucz naprawczy znaleziony przez profesora?","Klucz naprawczy znaleziony przez profesora wyglądał jak malutki, srebrny przedmiot przypominający dzieło jubilera, ale pokryty śladami rdzy."
"KONTEKST:\nPo znalezieniu klucza, drzewo zareagowało w specyficzny sposób.\nPytanie: Co się stało, gdy profesor znalazł klucz?","Gdy profesor znalazł klucz, drzewo jęknęło tak przeraźliwie, że z gałęzi sfrunęła chmara nietoperzy z procesorami zamiast głów."
"KONTEKST:\nMarysia i profesor musieli uciekać.\nPytanie: Co goniło Marysię i profesora podczas ucieczki?","Podczas ucieczki Marysię i profesora goniły nietoperze, wydając przy tym dźwięki zbliżone do klikania starych dyskietek 3.5"
"KONTEKST:\nMarysia straciła coś podczas ucieczki.\nPytanie: Co zgubiła Marysia podczas ucieczki?","Podczas ucieczki Marysia zgubiła jeden but – ten sam po dziadku."
"KONTEKST:\nProfesor zaczął naprawiać komputer kwantowy.\nPytanie: Jak profesor naprawiał komputer kwantowy?","Profesor naprawiał komputer kwantowy przez parę godzin, spawając laserem i lutując nanokable."
"KONTEKST:\nNaprawiony komputer kwantowy zaczął działać.\nPytanie: Jak zachowywał się naprawiony komputer kwantowy?","Naprawiony komputer kwantowy zaczął mrugać diodami, a ich pulsowanie przypominało łomot serca."
"KONTEKST:\nMarysia i profesor znów przenieśli się do innego świata.\nPytanie: Jak wyglądało niebo w nowym świecie?","W nowym świecie niebo miało kolor dojrzałego bakłażana."
"KONTEKST:\nW nowym świecie znajdował się dziwny zamek.\nPytanie: Co znajdowało się na blankach zamku w nowym świecie?","Na blankach zamku w nowym świecie maszerowały postacie w czarnych pelerynach, każda wyposażona w lśniący laptop kwantowy."
"KONTEKST:\nZamek w nowym świecie miał specyficzną nazwę.\nPytanie: Jak nazywał się zamek w nowym świecie?","Zamek w nowym świecie nazywał się twierdzą Czarnych Przepowiedni."
"KONTEKST:\nMarysia i profesor spotkali dziwne zwierzę w zamku.\nPytanie: Jakie zwierzę przywitało Marysię i profesora w zamku?","W zamku Marysię i profesora przywitał czarny kot z jednym okiem."
"KONTEKST:\nW zamku znajdował się korytarz pełen luster.\nPytanie: Co Marysia i profesor widzieli w lustrach?","W lustrach w korytarzu zamku Marysia i profesor widzieli swoje zmęczone twarze."
"KONTEKST:\nMarysia i profesor spotkali dziwną postać w korytarzu.\nPytanie: Jak wyglądała postać spotkana w korytarzu?","Postać spotkana w korytarzu miała na sobie czarną szatę i twarz starca z pustymi oczodołami."
"KONTEKST:\nProfesor miał przy sobie zapasowy komputer kwantowy.\nPytanie: Jak nazywał się zapasowy komputer kwantowy profesora?","Zapasowy komputer kwantowy profesora nazywał się Komputer Kwantowy Numer 14."
"KONTEKST:\nMarysia i profesor znów przenieśli się do innego świata.\nPytanie: Jak wyglądało nowe miejsce, do którego trafili Marysia i profesor?","Nowe miejsce, do którego trafili Marysia i profesor, to łąka z kwitnącymi kwiatami i szumem strumyka."
"KONTEKST:\nKomputer kwantowy uległ zniszczeniu.\nPytanie: Co stało się z Komputerem Kwantowym Numer 14?","Komputer Kwantowy Numer 14 rozpadł się w drobny mak, jakby nie mógł znieść triumfu normalności."
"KONTEKST:\nMarysia i profesor spotkali staruszka.\nPytanie: Co niósł staruszek, którego spotkali Marysia i profesor?","Staruszek, którego spotkali Marysia i profesor, niósł kosz z jabłkami."
"KONTEKST:\nStaruszek zaprosił Marysię i profesora do swojej chaty.\nPytanie: Czym staruszek poczęstował Marysię i profesora?","Staruszek poczęstował Marysię i profesora mlekiem i ciepłą zupą."
"KONTEKST:\nMarysia nauczyła się nowych umiejętności.\nPytanie: Czego nauczyła się Marysia w nowym miejscu?","W nowym miejscu Marysia nauczyła się doić kozę i piec swój pierwszy chleb."
"KONTEKST:\nMarysia usłyszała znajomy dźwięk.\nPytanie: Jaki dźwięk usłyszała Marysia?","Marysia usłyszała mechaniczny szum i chrzęst, jakby ktoś włączał Komputer Kwantowy Numer 13."
"KONTEKST:\nMacocha Marysi pojawiła się w nowym świecie.\nPytanie: Co niosła ze sobą macocha Marysi?","Macocha Marysi niosła ze sobą walizkę kabli i modułów"
